ToM (+2400000);Ucrt(d);Type;E,Phi;P_Shift;E GCVS;O-C (d);Observer;Reference (see bibliography);source
25002.5800;0.150;pg;-7818.54;0;-7819;1.720;Helllerich;Hellerich 1937;ADS
25002.5800;0.050;pg;-7818.54;0;-7819;1.720;Hellerich 1938;Meyer 2023;ADS
25100.8200;;pg;-7792.19;-1;-7793;3.020;Hellerich;Hellerich 1937;ADS
25155.5090;0.150;pg;-7777.52;0;-7778;1.790;Hellerich;Szabados 1977;ADS
25293.4620;0.150;vis;-7740.52;0;-7741;1.780;Kukarkin 1940;Szabados 1977;ADS
25300.9200;0.050;pg;-7738.52;0;-7739;1.790;Kukarkin;Meyer 2023;ADS
25513.4400;0.050;pg;-7681.52;0;-7682;1.780;Kukarkin;Meyer 2023;ADS
25535.8440;0.150;vis;-7675.51;0;-7676;1.810;Zverev 1936;Szabados 1977;ADS
25744.6190;0.150;vis;-7619.52;0;-7620;1.790;Kukarkin 1940;Szabados 1977;ADS
25990.6180;0.150;vis;-7553.54;0;-7554;1.710;Kukarkin 1934;Szabados 1977;ADS
25994.3600;0.050;pg;-7552.54;0;-7553;1.730;Zverev;Meyer 2023;ADS
26005.5400;0.050;pg;-7549.54;0;-7550;1.720;Zverev;Meyer 2023;ADS
26232.9460;0.150;vis;-7488.55;0;-7489;1.690;Zverev 1936;Szabados 1977;ADS
26370.9600;0.050;pg;-7451.53;0;-7452;1.750;Kukarkin;Meyer 2023;ADS
